jindices_string,party_string,yyyymmdd_count,yyyymmdd_min,yyyymmdd_max,court_party_power,court_judges_string
67_79_116_70_78_85_81_82,DDDDRRRR,159,19700101,19700608,-3.0,Blac_Bren_Burg_Doug_Harl_Mars_Stew_Whit
67_86_79_116_70_78_85_81_82,DDDDRRRRR,465,19700609,19710916,-3.0,Blac_Blac_Bren_Burg_Doug_Harl_Mars_Stew_Whit
86_79_116_70_78_85_81_82,DDDRRRRR,6,19710917,19710922,-2.0,Blac_Bren_Burg_Doug_Harl_Mars_Stew_Whit
86_79_116_70_85_81_82,DDDRRRR,106,19710923,19720106,-3.0,Blac_Bren_Burg_Doug_Mars_Stew_Whit
86_79_116_70_85_87_88_81_82,DDDRRRRRR,1405,19720107,19751111,-3.0,Blac_Bren_Burg_Doug_Mars_Powe_Rehn_Stew_Whit
86_79_116_85_87_88_81_82,DDRRRRRR,37,19751112,19751218,-2.0,Blac_Bren_Burg_Mars_Powe_Rehn_Stew_Whit
86_79_116_85_87_88_89_81_82,DDRRRRRRR,2023,19751219,19810702,-2.0,Blac_Bren_Burg_Mars_Powe_Rehn_Stev_Stew_Whit
86_79_116_85_87_88_89_82,DDRRRRRR,84,19810703,19810924,-2.0,Blac_Bren_Burg_Mars_Powe_Rehn_Stev_Whit
86_79_116_85_90_87_88_89_82,DDRRRRRRR,1827,19810925,19860925,-2.0,Blac_Bren_Burg_Mars_O'Co_Powe_Rehn_Stev_Whit
86_79_85_90_87_117_91_89_82,DDRRRRRRR,273,19860926,19870625,0.0,Blac_Bren_Mars_O'Co_Powe_Rehn_Scal_Stev_Whit
86_79_85_90_117_91_89_82,DDRRRRRR,237,19870626,19880217,0.0,Blac_Bren_Mars_O'Co_Rehn_Scal_Stev_Whit
86_79_92_85_90_117_91_89_82,DDRRRRRRR,883,19880218,19900719,0.0,Blac_Bren_Kenn_Mars_O'Co_Rehn_Scal_Stev_Whit
86_92_85_90_117_91_89_82,DDRRRRRR,81,19900720,19901008,0.0,Blac_Kenn_Mars_O'Co_Rehn_Scal_Stev_Whit
86_92_85_90_117_91_93_89_82,DDRRRRRRR,357,19901009,19910930,0.0,Blac_Kenn_Mars_O'Co_Rehn_Scal_Sout_Stev_Whit
86_92_90_117_91_93_89_82,DRRRRRRR,22,19911001,19911022,1.0,Blac_Kenn_O'Co_Rehn_Scal_Sout_Stev_Whit
86_92_90_117_91_93_89_94_82,DRRRRRRRR,614,19911023,19930627,1.0,Blac_Kenn_O'Co_Rehn_Scal_Sout_Stev_Thom_Whit
86_92_90_117_91_93_89_94,RRRRRRRR,43,19930628,19930809,2.0,Blac_Kenn_O'Co_Rehn_Scal_Sout_Stev_Thom
86_95_92_90_117_91_93_89_94,DRRRRRRRR,358,19930810,19940802,1.0,Blac_Gins_Kenn_O'Co_Rehn_Scal_Sout_Stev_Thom
96_95_92_90_117_91_93_89_94,DDRRRRRRR,4049,19940803,20050902,0.0,Brey_Gins_Kenn_O'Co_Rehn_Scal_Sout_Stev_Thom
96_95_92_90_91_93_89_94,DDRRRRRR,26,20050903,20050928,-1.0,Brey_Gins_Kenn_O'Co_Scal_Sout_Stev_Thom
96_95_92_90_118_91_93_89_94,DDRRRRRRR,124,20050929,20060130,0.0,Brey_Gins_Kenn_O'Co_Robe_Scal_Sout_Stev_Thom
97_96_95_92_118_91_93_89_94,DDRRRRRRR,1245,20060131,20090628,1.0,Alit_Brey_Gins_Kenn_Robe_Scal_Sout_Stev_Thom
97_96_95_92_118_91_89_94,DDRRRRRR,40,20090629,20090807,1.0,Alit_Brey_Gins_Kenn_Robe_Scal_Stev_Thom
97_96_95_92_118_91_98_89_94,DDDRRRRRR,325,20090808,20100628,2.0,Alit_Brey_Gins_Kenn_Robe_Scal_Soto_Stev_Thom
97_96_95_92_118_91_98_94,DDDRRRRR,39,20100629,20100806,2.0,Alit_Brey_Gins_Kenn_Robe_Scal_Soto_Thom
97_96_95_99_92_118_91_98_94,DDDDRRRRR,2016,20100807,20160212,2.0,Alit_Brey_Gins_Kaga_Kenn_Robe_Scal_Soto_Thom
97_96_95_99_92_118_98_94,DDDDRRRR,422,20160213,20170409,1.0,Alit_Brey_Gins_Kaga_Kenn_Robe_Soto_Thom
97_96_95_100_99_92_118_98_94,DDDDRRRRR,477,20170410,20180730,2.0,Alit_Brey_Gins_Gors_Kaga_Kenn_Robe_Soto_Thom
97_96_95_100_99_118_98_94,DDDDRRRR,67,20180731,20181005,2.0,Alit_Brey_Gins_Gors_Kaga_Robe_Soto_Thom
97_96_95_100_99_101_118_98_94,DDDDRRRRR,715,20181006,20200919,3.0,Alit_Brey_Gins_Gors_Kaga_Kava_Robe_Soto_Thom
97_96_100_99_101_118_98_94,DDDRRRRR,104,20200920,20210101,4.0,Alit_Brey_Gors_Kaga_Kava_Robe_Soto_Thom
